AD_ID,AD_CLICKS,AD_CREATION_DATE,AD_END_DATE,AD_IMPRESSIONS,AD_LANDING_PAGE,AD_PATH,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_CUSTOM_AUDIENCE,AD_TARGETING_EXCLUDE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_EXCLUDE_LOCATION,AD_TARGETING_FRIENDS_OF_CONNECTIONS,AD_TARGETING_GENDER,AD_TARGETING_INTERESTS,AD_TARGETING_LANGUAGE,AD_TARGETING_LOCATION,AD_TARGETING_LOCATION_LIVING_IN,AD_TARGETING_LOCATION_RECENTLY_IN,AD_TARGETING_PEOPLE_WHO_MATCH,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
3185,933,2016-12-09 07:00:35,,9202,https://www.facebook.com/protectblackgunowners/,2016-q4/2016-12/P(1)0001175.pdf,6302.35 RUB,18 - 65+,,,Exclude people who like Black guns matter,,,,2nd Amendment,,United States,,,,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers","We support the 2nd Amendment! Join us, if self-defense is your top priority! Black Guns Matter",1400000.0
2854,8,2017-04-14 00:02:43,2017-04-15 00:02:43,134,https://www.facebook.com/panafrootsmove/,2017-04/P(1)0001081.pdf,20.00 RUB,18 - 65+,,,Exclude people who like Pan-African roots MOVE,,,,"Martin Luther King, Jr., Black history. African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",English (UK) or English (US),,United States,,,News Feed on desktop computers or News Feed on mobile devices,"Somali-American model Halima Aden is breaking all the records and people mind's as she slaying her hijab on the runway and the beauty pageant. She became the first hijab-wearing model on IMG's books. Aden was born in a Kenyan refugee camp and move to America with her family when she was six- years-old. She came through a lot and became a star. proving the very simple statement ""If you want something; you can achieve it"". Her success is important not only because she overcame her past and became successful, but also because she is making the statement to all the haters in this country. Black girls can do anything!",24000000.0
2698,5009,2017-02-07 04:30:36,2017-02-08 04:30:36,32189,https://www.facebook.com/brownunitedfront/,2017-q1/2017-02/P(1)0000965.pdf,300.00 RUB,18 - 65+,,,,,,,"Hispanic and latino american culture, Mexico, Mexican american culture, Hispanic culture, Latino culture, Latin hip hop, Chicano. Chicano Movement, Hispanidad, Mexican Pride, Lowrider, Chicano rap or La Raza",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,Do you like zoot suit style?,49000000.0
1699,264,2016-08-09 07:50:06,,9069,https://www.instagram.com/blackmattersus/,2016-q3/2016-08/P(1)0003788.pdf,1858.97 RUB,18 - 65+,,,,,,,Black Power or Malcolm X,,,United States: Connecticut; Maryland; Massachusetts; New Jersey; New York; Pennsylvania; Vermont,,,Instagram Feed,"Join us on August 13! DM blackmattersus or visit blackmattersus.com for more details! I didn't believe the media, SO I BECAME ONE. BE THERE, JOIN US ? Blackluive",
635,2,2015-08-14 08:16:53,2015-08-17 08:16:52,12,https://www.facebook.com/lgbt-united-839497472793277/,2015-q3/2015-08/P(1)0002553.pdf,3.85 RUB,18 - 65+,,,,,Friends of people who are connected to LGBT United,,,,United States,,,"People who like LGBT United,",News Feed on desktop computers or News Feed on mobile devices,"ABOUT 15,500 TRANS PEOPLE ACTIVELY SERVE IN THE MILITARY. It's estimated that over 134000 American veterans are transgender. Not long ago these people were forced into hiding. As a result, many were unable treatments for their gender dysphoria, a state of emotional distress caused by how the gender someone was designated at birth conflicts with their gender identity. Coming out as transgender requires telling everyone in your life about you and enduring the consequences which often means the loss of family, lifelong friends, your job, and being the subject of ridicule, discrimination, and often violence. No one makes the decision easily and no one transitions unless they have to do so. Transphobic slur of stupid politicians like GOP presidential hopeful Mike Huckabee seeking to tremendous efforts of transgender community who are still struggle for equal rights. We know how easily bigots and fools who has power are able to reverse progressive changes for their own benefit. We can't let that happen! These people know what it means to be Transgender and know what it is to serve in our Armed Forces. We respect their opinion in both of these areas, especially over those of Governor Huckabee who has not experienced or accomplished either. #transgender #military #equality #transphobia #mikehackabee",
2954,0,2017-04-19 07:49:28,,0,https://www.facebook.com/savethe2a/,2017-04/P(1)0005573.pdf,0,18 - 65+,,,Exclude people who like Defend the 2nd,United States: California; Illinois,,Male,"Protect the Second Amendment, Anything About Guns, Open carry in the United States, Guns & Patriots, Gun Rights, Guns & Weapons or Guns.com",,,United States,,,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers","The community of 2nd Amendment supporters, guns lovers & patriots Defend The 2nd",1000000.0
23,6,2016-04-19 08:23:46,,10785,https://www.facebook.com/govspending-1651761351759857/,2016-q2/2016-04/P(1)0001765.pdf,806.09 RUB,18 - 65+,,,,,,,Independence or Patriotism,English (US),United States,,,,Instagram Feed,"TAG YOUR PHOTOS WITH #TXagainst Send us the reason why don't you want illegals in Texas. Comments, photos, and videos are welcomed!",2600000.0
2780,4,2017-05-03 07:24:41,,609,https://www.facebook.com/eterans-come-first-1757336424535312/,2017-05/P(1)0001033.pdf,264.86 RUB,30 - 65+,,,Exclude people who like Veterans Come First,,,,"Iraq War Veterans, Veterans of Foreign Wars, Support Our Veterans. Veterans benefits support; Disabled American Veterans, Veterans Advantage or Dysfunctional Veterans",English (UK) or English (US),,United States,,"Industry: Veterans (US), Politics: Likely to engage with political content (conservative) And Must Also Match:",Instagram Feed,Forever grateful!,
2351,0,2016-09-30 01:54:16,2016-09-25 04:32:36,0,https://blackmattersus.com/16383-st-louis-killer-cop-caught-in-on-camera/,2016-q3/2016-09/P(1)0004720.pdf,,18 - 65+,,,,,,,"Black Power, Black Panther Party or Cop Block",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"A new video shows Officer Jason Stockley planting a gun on Anthony Lamar Smith after he shot and killed him. A new revelation has popped up following the release of a new video of the 2011 police fatal killing in St. Louis. The video captures Officer Jason Stockley, th St. Louis Killer Cop Caught In On Camera I BM BM",2900000.0
3446,0,2016-05-12 03:25:50,,0,https://musicfb.info/,2016-q2/2016-05/P(1)0006061.pdf,,15 - 25,,,,,,,"Grooveshark, Last.fm, SoundCloud, Vevo or Google Play Music",English (UK)or English (US),United States,,,Behaviors: Facebook access (browser): Chrome And Must Also Match:,News Feed on desktop computers,Free online player! Jump in the world of free music! Click and download for ur browser musicfb.info FaceMusic Stop A.I.,
